Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SBGM;RO0006;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;RO;10° 47' 18'' S;65° 16' 54'' W;146 m;VFR Diurno/Noturno;-;-; 17/35;1795 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0974;-;-;-;PA2020-0974;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;proibição de operações noturnas e também de operações de aeronaves de asa fixa com motores à reação (turbojatos).;PA2022-9711;PA2022-9711;X;-
SBGO;GO0001;SANTA GENOVEVA/GOIÂNIA;GOIÂNIA;GO;16° 37' 57'' S;49° 13' 16'' W;747 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 14/32;2286 m;45 m;PCN 70/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3371;-;-;-;PA2017-3371;-;-;-;AP-2;Classe III;1ª;4C;"NPA(14;32)";N/A;PA2022-7300;-;PA2022-7300;-;-;-;-;;-
SBGR;SP0002;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP;23° 26' 8'' S;46° 28' 23'' W;750 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10L/28R;3700 m;45 m;PCN 77/F/B/W/T;Asfalto; 10R/28L;3000 m;45 m;PCN 77/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2019-3642;-;-;-;PA2019-3642;-;-;-;AP-3;Classe IV;1ª (*);4E;"PA3-A(09R)/ PA2(09L)/ PA1(27L;27R)";N/A;PA2013-2987;-;PA2013-2987;-;-;-;-;;-
SSGG;PR0009;AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA;GUARAPUAVA;PR;25° 23' 18'' S;51° 31' 25'' W;1065 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;1365 m;30 m;PCN 23/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5002;-;-;-;PA2021-5002;-;-;-;AP-1;Classe I;4ª;2C;NPA;N/A;PA2021-6333;-;PA2021-6333;-;-;-;-;;-
SBGV;MG0032;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18° 53' 46'' S;41° 58' 60'' W;171 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1701 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.934;-;-;-;PA2023-10.934;-;-;-;AP-1;Classe I;3ª;2C;NPA;N/A;PA2019-1077;-;PA2019-1077;-;-;-;-;;-
SBGW;SP0076;GUARATINGUETÁ;GUARATINGUETÁ;SP;22° 47' 30'' S;45° 12' 16'' W;537 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1551 m;30 m;PCN 15/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1020;-;-;-;PA2020-1020;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SBHT;PA0003;ALTAMIRA;ALTAMIRA;PA;3° 15' 3'' S;52° 15' 8'' W;112 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2003 m;30 m;PCN 36/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2887;-;-;-;PA2017-2887;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBIC;AM0012;ITACOATIARA;ITACOATIARA;AM;3° 7' 35'' S;58° 28' 54'' W;43 m;VFR Diurno;-;-; 14/32;1520 m;30 m;PCN 10/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2359;-;-;-;PA2018-2359;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SBIH;PA0010;ITAITUBA;ITAITUBA;PA;4° 14' 32'' S;56° 0' 3'' W;33 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1700 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1747;-;-;-;PA2020-1747;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;X;-
SBIL;BA0004;BAHIA - JORGE AMADO;ILHÉUS;BA;14° 48' 54'' S;39° 2' 0'' W;4 m;VFR Diurno/Noturno;-;-; 11/29;1577 m;45 m;PCN 50/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2422;-;-;-;PA2020-2422;-;-;-;AP-2;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBIP;MG0007;USIMINAS;SANTANA DO PARAÍSO;MG;19° 28' 14'' S;42° 29' 17'' W;240 m;VFR Diurno e IFR Diurno/Noturno;-;-; 05/23;2004 m;45 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7095;-;-;-;PA2022-7095;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBIZ;MA0002;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5° 31' 50'' S;47° 27' 30'' W;131 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1798 m;45 m;PCN 52/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2252;-;-;-;PA2018-2252;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBJD;SP0031;COMANDANTE ROLIM ADOLFO AMARO;JUNDIAÍ;SP;23° 10' 54'' S;46° 56' 37'' W;753 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1400 m;30 m;PCN 21/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3807;-;-;-;PA2018-3807;-;-;-;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBJF;MG0016;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21° 47' 35'' S;43° 23' 8'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1535 m;30 m;PCN 32/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1921;-;-;-;PA2020-1921;-;-;-;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBJI;RO0005;JI-PARANÁ;JI-PARANÁ;RO;10° 52' 14'' S;61° 50' 48'' W;182 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1800 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5871;-;-;-;PA2021-5871;-;-;-;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-5942;-;PA2021-5942;-;-;-;-;X;-
SBJP;PB0001;PRESIDENTE CASTRO PINTO;JOÃO PESSOA;PB;7° 8' 54'' S;34° 57' 1'' W;66 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 16/34;2515 m;45 m;PCN 52/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1203;-;-;-;PA2015-1203;-;-;-;AP-2;Classe III;2ª;4C;NPA;N/A;PA2022-7340;-;PA2022-7340;-;-;-;-;;-
SBJR;RJ0005;JACAREPAGUÁ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;22° 59' 15'' S;43° 22' 12'' W;3 m;VFR Diurno/Noturno;-;-; 03/21;900 m;30 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1808;-;-;-;PA2017-1808;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBJU;CE0002;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7° 13' 9'' S;39° 16' 10'' W;409 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;1940 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0624;-;-;-;PA2019-0624;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBJV;SC0004;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26° 13' 23'' S;48° 47' 52'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1540 m;45 m;PCN 59/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1029;-;-;-;PA2020-1029;-;-;-;AP-1;Classe II;1ª;4C;PA1(33) / NPA(15);N/A;PA2022-7427 / PA2023-10.688;-;PA2022-7427 / PA2023-10.688;-;-;-;-;;-
SBKG;PB0003;PRESIDENTE JOÃO SUASSUNA;CAMPINA GRANDE;PB;7° 16' 9'' S;35° 53' 42'' W;502 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1565 m;42 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0575;-;-;-;PA2016-0575;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBKP;SP0003;VIRACOPOS;CAMPINAS;SP;23° 0' 25'' S;47° 8' 4'' W;661 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;3240 m;45 m;PCN 56/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3677;-;-;-;PA2018-3677;-;-;-;AP-3;Classe IV;1ª (*);4E;PA1(15) / NPA(33);N/A;PA2014-1388 / PA2018-3198 / PA2020-0552;-;PA2014-1388 / PA2018-3198 / PA2020-0552;-;-;-;-;;-
SBLE;BA0006;HORÁCIO DE MATTOS;LENÇÓIS;BA;12° 28' 56'' S;41° 16' 37'' W;506 m;VFR Diurno/Noturno;-;-; 14/32;2082 m;30 m;PCN 44/F/A/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2870;-;-;-;PA2015-2870;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBLJ;SC0007;LAGES;LAGES;SC;27° 46' 56'' S;50° 16' 54'' W;934 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1532 m;30 m;PCN 17/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1562;-;-;-;PA2016-1562;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBLO;PR0003;GOVERNADOR JOSÉ RICHA;LONDRINA;PR;23° 19' 49'' S;51° 8' 12'' W;569 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2100 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1601;-;-;-;PA2018-1601;-;-;-;AP-2;Classe II;2ª;4C;NPA;N/A;PA2022-7425 / PA2023-10.602;PA2023-10.602;PA2022-7425 / PA2023-10.602;PA2023-10.602;-;-;-;;-
SBLP;BA0037;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13° 15' 41'' S;43° 24' 27'' W;443 m;VFR Diurno/Noturno e IFR Diurno;-;-; 18/36;1211 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBMA;PA0004;JOÃO CORRÊA DA ROCHA;MARABÁ;PA;5° 22' 5'' S;49° 8' 17'' W;109 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2000 m;45 m;PCN 40/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1179;-;-;-;PA2018-1179;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBMD;PA0009;MONTE DOURADO;ALMEIRIM;PA;0° 53' 23'' S;52° 36' 8'' W;206 m;VFR Diurno;-;-; 08/26;1800 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1922;-;-;-;PA2020-1922;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;X;-
SBME;RJ0004;MACAÉ;MACAÉ;RJ;22° 20' 34'' S;41° 45' 50'' W;2 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1200 m;30 m;PCN 19/F/C/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3922;-;-;-;PA2019-3922;-;-;-;AP-0;Classe I;2ª;2C;NPA;N/A;PA2021-6757;-;PA2021-6757;-;-;-;-;;-
SBMG;PR0004;SÍLVIO NAME JÚNIOR;MARINGÁ;PR;23° 28' 35'' S;52° 1' 4'' W;549 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL CARGA; 10/28;2380 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8564;-;-;-;PA2022-8564;-;-;-;AP-1;Classe II;2ª;4D;PA1 (10) / NPA(28);N/A;PA2022-7199 / PA2023-13.569;-;PA2022-7199 / PA2023-13.569;-;-;-;-;;-
SBMK;MG0004;MÁRIO RIBEIRO;MONTES CLAROS;MG;16° 42' 22'' S;43° 49' 19'' W;668 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;2100 m;45 m;PCN 34/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1719;-;-;-;PA2014-1719;-;-;-;AP-1;Classe II;2ª;4C;NPA;N/A;PA2022-7397 / PA2023-12.610;PA2023-12.610;PA2022-7397 / PA2023-12.610;PA2023-12.610;-;-;-;;-
SBML;SP0014;FRANK MILOYE MILENKOVICH;MARÍLIA;SP;22° 11' 49'' S;49° 55' 35'' W;650 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1700 m;35 m;PCN 35/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.657;-;-;-;PA2023-11.657;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBMO;AL0001;ZUMBI DOS PALMARES;MACEIÓ;AL;9° 30' 39'' S;35° 47' 30'' W;118 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX; 12/30;2602 m;45 m;PCN 46/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6020;-;-;-;PA2021-6020;-;-;-;AP-2;Classe III;1ª;4E;PA1(12) / NPA(30);N/A;PA2020-0328 / PA2021-4215 / PA2022-7249;-;PA2020-0328 / PA2021-4215 / PA2022-7249;-;-;-;-;;-
SBMQ;AP0001;ALBERTO ALCOLUMBRE;MACAPÁ;AP;0° 3' 2'' N;51° 4' 20'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 08/26;1800 m;45 m;PCN 48/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9619;-;-;-;PA2022-9619;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBMS;RN0002;DIX-SEPT ROSADO;MOSSORÓ;RN;5° 11' 45'' S;37° 21' 42'' W;23 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;1900 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4773;-;-;-;PA2021-4773;-;-;-;AP-1;Classe I;4ª;2C;NPA;N/A;PA2019-0759 / PA2023-13.738;-;PA2019-0759 / PA2023-13.738;-;-;-;-;;-
SBMT;SP0007;CAMPO DE MARTE;SÃO PAULO;SP;23° 30' 33'' S;46° 38' 15'' W;723 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;45 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;11  28;quadrado;25 m x25 m;4 t;Paralelepípedo;PA2023-12.612;-;-;-;PA2023-12.612;-;-;-;AP-0;Classe II;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBMY;AM0015;MANICORÉ;MANICORÉ;AM;5° 48' 40'' S;61° 16' 42'' W;53 m;VFR Diurno;-;-; 05/23;1265 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9831;-;-;-;PA2022-9831;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SBNF;SC0002;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26° 52' 43'' S;48° 39' 3'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 07/25;1701 m;45 m;PCN 52/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3372;-;-;-;PA2013-3372;-;-;-;AP-2;Classe III;2ª;4C;NPA;N/A;PA2022-7620 / PA2023-10.756;PA2023-10.756;PA2022-7620 / PA2023-10.756;PA2023-10.756;-;-;-;;-
SBNM;RS0008;SANTO ÂNGELO;SANTO ÂNGELO;RS;28° 16' 54'' S;54° 10' 6'' W;322 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;1625 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3072;-;-;-;PA2019-3072;-;-;-;AP-1;Classe I;4ª;2C;NPA;N/A;PA2019-0746 / PA2022-9996;PA2022-8456;PA2019-0746 / PA2022-9996;PA2022-8456;-;-;-;;-
SBOI;AP0002;OIAPOQUE;OIAPOQUE;AP;3° 51' 15'' N;51° 47' 50'' W;16 m;VFR Diurno e IFR Diurno;-;-; 03/21;1500 m;30 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.569;-;-;-;PA2023-12.569;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SBPA;RS0001;SALGADO FILHO;PORTO ALEGRE;RS;29° 59' 41'' S;51° 10' 16'' W;9 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11/29;3200 m;45 m;PCN 72/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1446;-;-;-;PA2014-1446;-;-;-;AP-3;Classe IV;1ª;4E;PA2(11) / NPA(29);N/A;PA2018-3651 / PA2019-3338;-;PA2018-3651 / PA2019-3338;-;Proibição de operações de pouso e decolagem de aeronaves de asa fixa.;PA2024-14.654;PA2024-14.654;;-
SBPB;PI0002;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO;PARNAÍBA;PI;2° 53' 36'' S;41° 43' 49'' W;5 m;VFR Diurno/Noturno;RNS;INTL PAX; 10/28;2500 m;45 m;PCN 52/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.788;-;-;-;PA2023-11.788;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBPC;MG0018;EMBAIXADOR WALTHER MOREIRA SALLES;POÇOS DE CALDAS;MG;21° 50' 33'' S;46° 34' 10'' W;1261 m;VFR Diurno e IFR Diurno;-;-; 09/27;1515 m;30 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.943;-;-;-;PA2023-10.943;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBPF;RS0006;LAURO KURTZ;PASSO FUNDO;RS;28° 14' 39'' S;52° 19' 42'' W;725 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1680 m;30 m;PCN 36/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7368;-;-;-;PA2022-7368;-;-;-;AP-1;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;Portaria n° 11.197/2023 torna pública a revogação da medida administrativa cautelar condicionante às operações noturnas.
SBPJ;TO0001;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;10° 17' 24'' S;48° 21' 28'' W;236 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 14/32;2500 m;45 m;PCN 63/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4223;-;-;-;PA2021-4223;-;-;-;AP-1;Classe II;2ª;4C;NPA;N/A;PA2022-7426 / PA2023-10.674;-;PA2022-7426 / PA2023-10.674;-;-;-;-;X;-
SBPK;RS0005;JOÃO SIMÕES LOPES NETO;PELOTAS;RS;31° 42' 58'' S;52° 19' 52'' W;18 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 06/24;1980 m;42 m;PCN 35/R/B/W/T;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3710;-;-;-;PA2017-3710;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBPL;PE0002;AEROPORTO INTERNACIONAL SENADOR NILO COELHO;PETROLINA;PE;9° 22' 3'' S;40° 33' 49'' W;384 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL CARGA; 13/31;3250 m;45 m;PCN 78/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6650;-;-;-;PA2021-6650;-;-;-;AP-1;Classe II;2ª;4E;NPA;N/A;PA2017-3172 / PA2022-7251 / PA2023-10.642;-;PA2017-3172 / PA2022-7251 / PA2023-10.642;-;-;-;-;;-
SDPE;TO0003;PORTO NACIONAL;PORTO NACIONAL;TO;10° 43' 5'' S;48° 23' 56'' W;270 m;VFR Diurno;-;-; 05/23;1700 m;30 m;PCN 27/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.026;-;-;-;PA2023-11.026;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-
SBPP;MS0005;AEROPORTO INTERNACIONAL DE PONTA PORÃ;PONTA PORÃ;MS;22° 32' 59'' S;55° 42' 11'' W;657 m;VFR Diurno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 04/22;2000 m;45 m;PCN 40/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.426;-;-;-;PA2023-11.426;-;-;-;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-6788 / PA2023-12.611;PA2023-12.611;PA2021-6788 / PA2023-12.611;PA2023-12.611;-;-;-;;-
SBNV;GO0002;AERÓDROMO NACIONAL DE AVIAÇÃO;GOIÂNIA;GO;16° 37' 32'' S;49° 20' 58'' W;824 m;VFR Diurno/Noturno;-;-; 14/32;1330 m;22 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0537;-;-;-;PA2019-0537;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações na pista de pouso e decolagem do aeródromo concomitantes à execução de obras e serviços de manutenção dentro da faixa de pista da pista de pouso e decolagem.;PA2019-3988;PA2019-3988;;-
SBPS;BA0002;PORTO SEGURO;PORTO SEGURO;BA;16° 26' 17'' S;39° 4' 40'' W;51 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX; 10/28;2000 m;45 m;PCN 44/R/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8566;-;-;-;PA2022-8566;-;-;-;AP-2;Classe III;2ª;4C;"NPA(10;28)";N/A;PA2017-2276;-;PA2017-2276;-;-;-;-;;-
SBPV;RO0001;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;8° 42' 49'' S;63° 54' 10'' W;90 m;VFR Diurno/Noturno e IFR Diurno/Noturno;AS;INTL PAX/CARGA; 18/36;2400 m;45 m;PCN 64/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7087;-;-;-;PA2022-7087;-;-;-;AP-2;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBRB;AC0001;PLÁCIDO DE CASTRO;RIO BRANCO;AC;9° 52' 6'' S;67° 53' 53'' W;193 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX; 06/24;2158 m;45 m;PCN 78/F/D/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2577;-;-;-;PA2018-2577;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SBRD;MT0004;RONDONÓPOLIS - MAESTRO MARINHO FRANCO;RONDONÓPOLIS;MT;16° 35' 17'' S;54° 43' 18'' W;447 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1850 m;30 m;PCN 40/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3190;-;-;-;PA2018-3190;-;-;-;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-6533;-;PA2021-6533;-;-;-;-;X;-
SBRF;PE0001;AEROPORTO INTERNACIONAL RECIFE/GUARARAPES - GILBERTO FREYRE;RECIFE;PE;8° 7' 35'' S;34° 55' 22'' W;10 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 18/36;2751 m;45 m;PCN 72/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.702;-;-;-;PA2023-12.702;-;-;-;AP-3;Classe IV;1ª;4E;PA1(18) / NPA(36);N/A;PA2022-7387;-;PA2022-7387;-;-;-;-;;-
SBRJ;RJ0002;SANTOS DUMONT;RIO DE JANEIRO;RJ;22° 54' 36'' S;43° 9' 45'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 2R/20L;1323 m;42 m;PCN 65/F/A/W/T;Asfalto; 2L/20R;1260 m;30 m;PCN 39/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2014-1562;-;-;-;PA2014-1562;-;-;-;AP-3;Classe IV;1ª;"4C (02R/20L); 3C (02L/20R)";"NPA(02R;20L) / NINST(02L;20R)";N/A;PA2022-8781;-;PA2022-8781;-;-;-;-;;-
